kingdom,kingdom_cnt,phylum,phylum_cnt,class,class_cnt,order,order_cnt
,,,,,,Arachnomycetales,17
,,,,,,Ascosphaerales,30
,,,,,,Mycocaliciales,103
,,,,,,Pyrenulales,274
,,,,Orbiliomycetes,414,Not assigned,1
,,,,,,Orbiliales,413
,,,,Sordariomycetes,23188,Tracyllales,1
,,,,,,Pseudodactylariales,2
,,,,,,Pararamichloridiales,3
,,,,,,Halosphaeriales,1
,,,,,,Distoseptisporales,23
,,,,,,Fuscosporellales,8
,,,,,,Delonicicolales,4
,,,,,,Atractosporales,6
,,,,,,Xenospadicoidales,2
,,,,,,Myrmecridiales,16
,,,,,,Pisorisporiales,4
,,,,,,Falcocladiales,6
,,,,,,Jobellisiales,8
,,,,,,Spathulosporales,6
,,,,,,Torpedosporales,3
,,,,,,Batistiales,4
,,,,,,Amplistromatales,32
,,,,,,Togniniales,74
,,,,,,Koralionastetales,5
,,,,,,Pleurotheciales,15
,,,,,,Annulatascales,89
,,,,,,Vermiculariopsiellales,26
,,,,,,Phomatosporales,80
,,,,,,Not assigned,913
,,,,,,Magnaporthales,280
,,,,,,Coniochaetales,107
,,,,,,Cordanales,22
,,,,,,Chaetosphaeriales,602
,,,,,,Melanosporales,169
,,,,,,Meliolales,2490
,,,,,,Glomerellales,575
,,,,,,Coronophorales,257
,,,,,,Phyllachorales,1331
,,,,,,Diaporthales,3578
,,,,,,Xylariales,2911
,,,,,,Microascales,754
,,,,,,Ophiostomatales,398
,,,,,,Amphisphaeriales,1240
,,,,,,Sordariales,1411
,,,,,,Hypocreales,5313
,,,,,,Boliniales,78
,,,,,,Parasympodiellales,9
,,,,,,Savoryellales,12
,,,,,,Lulworthiales,52
,,,,,,Cephalothecales,31
,,,,,,Conioscyphales,14
,,,,,,Trichosphaeriales,140
,,,,,,Calosphaeriales,83
,,,,Leotiomycetes,9973,Rhytismatales,1348
,,,,,,Not assigned,410
,,,,,,Chaetomellales,181
,,,,,,Erysiphales,1090
,,,,,,Helotiales,6266
,,,,,,Phacidiales,197
,,,,,,Thelebolales,205
,,,,,,Lichinodiales,19
,,,,,,Medeolariales,35
,,,,,,Cyttariales,165
,,,,,,Leotiales,57
,,,,Taphrinomycetes,152,Not assigned,2
,,,,,,Taphrinales,150
,,,,Saccharomycetes,1180,Not assigned,8
,,,,,,Saccharomycetales,1172
,,,,Not assigned,5181,Lahmiales,3
,,,,,,Lauriomycetales,11
,,,,,,Thelocarpales,30
,,,,,,Triblidiales,27
,,,,,,Not assigned,5090
,,,,,,Vezdaeales,14
,,,,,,Wiesneriomycetales,6
,,,,Xylobotryomycetes,9,Xylobotryales,9
